Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;reg_tx_dpd_atten_gain_set;[20:17] ;4'h0;R/W;;;;~
;;;;;;reg_tx_dig_1st_gain;[16:8] ;9'h0;R/W;;;;~
;;;;;;reg_tx_dpd_pwr_idx_set;[7:5];3'd0;R/W;;;;~
;;;;;;reg_tx_mag_vga_gain_set;[4:2];3'd0;R/W;;;;~
;;;;;;reg_tx_iccfr_both_en_set;[1];1'd0;R/W;;;;~
;;;;;;reg_tx_gmem_swrd_en;[0];1'd0;R/W;;;;~
0x00AC;TX_DIGDC_CH0_CFG1;pclk;reset_n;;;;[31:27];5'b0;RO;;;;~
;;;;;;reg_tx_dlpf_force_en_ch0;[26];1'd0;R/W;;;;~
;;;;;;reg_tx_dlpf_force_ch0;[25:24];2'd0;R/W;;;;~
;;;;;;reg_tx_dig_dco_1q_ch0;[23:12];12'd0;R/W;;;;
;;;;;;reg_tx_dig_dco_1i_ch0;[11:0];12'd0;R/W;;;;
0x00B0;TX_DIGDC_CH0_CFG2;pclk;reset_n;;;;[31:24];8'b0;RO;;;;~
;;;;;;reg_tx_dig_dco_2q_ch0;[23:12];12'd0;R/W;;;;
;;;;;;reg_tx_dig_dco_2i_ch0;[11:0];12'd0;R/W;;;;
0x00B4;TX_DIGDC_CH0_CFG3;pclk;reset_n;;;;[31:24];8'b0;RO;;;;~
;;;;;;reg_tx_dig_dco_3q_ch0;[23:12];12'd0;R/W;;;;
;;;;;;reg_tx_dig_dco_3i_ch0;[11:0];12'd0;R/W;;;;
0x00B8;TX_DIGDC_CH1_CFG1;pclk;reset_n;;;;[31:27];5'b0;RO;;;;~
;;;;;;reg_tx_dlpf_force_en_ch1;[26];1'd0;R/W;;;;~
;;;;;;reg_tx_dlpf_force_ch1;[25:24];2'd0;R/W;;;;~
;;;;;;reg_tx_dig_dco_1q_ch1;[23:12];12'd0;R/W;;;;
;;;;;;reg_tx_dig_dco_1i_ch1;[11:0];12'd0;R/W;;;;
0x00BC;TX_DIGDC_CH1_CFG2;pclk;reset_n;;;;[31:24];8'b0;RO;;;;~
;;;;;;reg_tx_dig_dco_2q_ch1;[23:12];12'd0;R/W;;;;
;;;;;;reg_tx_dig_dco_2i_ch1;[11:0];12'd0;R/W;;;;
0x00C0;TX_DIGDC_CH1_CFG3;pclk;reset_n;;;;[31:24];8'b0;RO;;;;~
;;;;;;reg_tx_dig_dco_3q_ch1;[23:12];12'd0;R/W;;;;
;;;;;;reg_tx_dig_dco_3i_ch1;[11:0];12'd0;R/W;;;;
0x00C4;TX_ANADC_CH0_CFG0;pclk;reset_n;;;;[31:27];5'b0;RO;;;;~
;;;;;;reg_tx_ana_dco_1i_ch0;[26:18];9'd0;R/W;;;;~
;;;;;;reg_tx_ana_dco_0q_ch0;[17:9];9'd0;R/W;;;;~
;;;;;;reg_tx_ana_dco_0i_ch0;[8:0];9'd0;R/W;;;;~
0x00C8;TX_ANADC_CH0_CFG1;pclk;reset_n;;;;[31:27];5'b0;RO;;;;~
;;;;;;reg_tx_ana_dco_1q_ch0;[26:18];9'd0;R/W;;;;~
;;;;;;reg_tx_ana_dco_2q_ch0;[17:9];9'd0;R/W;;;;~
;;;;;;reg_tx_ana_dco_2i_ch0;[8:0];9'd0;R/W;;;;~
0x00CC;TX_ANADC_CH0_CFG2;pclk;reset_n;;;;[31:18];14'b0;RO;;;;~
;;;;;;reg_tx_ana_dco_3q_ch0;[17:9];9'd0;R/W;;;;~
;;;;;;reg_tx_ana_dco_3i_ch0;[8:0];9'd0;R/W;;;;~
0x00D0;TX_ANADC_CH1_CFG0;pclk;reset_n;;;;[31:27];5'b0;RO;;;;~
;;;;;;reg_tx_ana_dco_1i_ch1;[26:18];9'd0;R/W;;;;~
;;;;;;reg_tx_ana_dco_0q_ch1;[17:9];9'd0;R/W;;;;~
;;;;;;reg_tx_ana_dco_0i_ch1;[8:0];9'd0;R/W;;;;~
0x00D4;TX_ANADC_CH1_CFG1;pclk;reset_n;;;;[31:27];5'b0;RO;;;;~
;;;;;;reg_tx_ana_dco_1q_ch1;[26:18];9'd0;R/W;;;;~
;;;;;;reg_tx_ana_dco_2q_ch1;[17:9];9'd0;R/W;;;;~
;;;;;;reg_tx_ana_dco_2i_ch1;[8:0];9'd0;R/W;;;;~
0x00D8;TX_ANADC_CH1_CFG2;pclk;reset_n;;;;[31:18];14'b0;RO;;;;~
;;;;;;reg_tx_ana_dco_3q_ch1;[17:9];9'd0;R/W;;;;~
;;;;;;reg_tx_ana_dco_3i_ch1;[8:0];9'd0;R/W;;;;~
0x00DC;TX_DIGANA_CFG4;pclk;reset_n;;;reg_tx_gmem_swrd_p0d;[31:0];32'b0;RO;;;;~
0x00E0;TX_DIGANA_CFG5;pclk;reset_n;;;reg_tx_gmem_swrd_p1d;[31:0];32'b0;RO;;;;~
0x00E4;TXTIME_RPT4;pclk;reset_n;;;;[31:30];2'b0;RO;;;;~
;;;;;;reg_tx_gmem_swrd_p2d;[29:18];12'b0;RO;;;;~
;;;;;;reg_tx_gmem_idx_swrd_ch0;[17:0];18'b0;RO;;;;~
0x00E8;NORM_CFG4;pclk;reset_n;;;;[31];1'b0;RO;;;;~
;;;;;;reg_tx_pwr_offset_ch1;[30:25];6'd22;R/W;;;;
;;;;;;reg_tx_pwr_force_ch1;[24:19];6'b0;R/W;;;;~
;;;;;;reg_tx_pwr_force_en_ch1;[18];1'b0;R/W;;;;~
;;;;;;reg_tx_prefreq_ofs_force;[17:2];16'd0;R/W;;;;~
;;;;;;reg_tx_prefreq_ofs_force_en;[1];1'd0;R/W;;;;~
;;;;;;reg_tx_prefreq_ofs_inv;[0];1'd1;R/W;;;;~
0x00EC;TXTDM_CFG2;pclk;reset_n;;;;[31:26];6'b0;RO;;;;~
;;;;;;reg_tx_hc_thr2x_force_ch1;[25:14];12'b0;R/W;;;;~
;;;;;;reg_tx_hc_thr2x_force_en_ch1;[13];1'b0;R/W;;;;~
;;;;;;reg_tx_ic_thr2x_force_ch1;[12:1];12'b0;R/W;;;;~
;;;;;;reg_tx_ic_thr2x_force_en_ch1;[0];1'b0;R/W;;;;~
0x00F0;TXTIME_RPT5;pclk;reset_n;;;;[31:18];12'b0;RO;;;;~
;;;;;;reg_tx_gmem_idx_swrd_ch1;[17:0];18'b0;RO;;;;~
0x00F4;TXMASK_DOT11B_SET00;pclk;reset_n;;;reg_tx_fir1x_dotb_debug;[31];1'b0;R/W;;;;
;;;;;;reg_tx_fir1x_dot11b_en;[30];1'b1;R/W;;;;
;;;;;;reg_fir1x_dot11b_set_coef2;[29:20];10'd0;R/W;;;;
;;;;;;reg_fir1x_dot11b_set_coef1;[19:10];10'd1016;R/W;;;;
;;;;;;reg_fir1x_dot11b_set_coef0;[9:0];10'd0;R/W;;;;
0x00F8;TXMASK_DOT11B_SET01;pclk;reset_n;;;;[31:30];2'b0;RO;;;;
;;;;;;reg_fir1x_dot11b_set_coef5;[29:20];10'd978;R/W;;;;
;;;;;;reg_fir1x_dot11b_set_coef4;[19:10];10'd0;R/W;;;;
;;;;;;reg_fir1x_dot11b_set_coef3;[9:0];10'd20;R/W;;;;
