Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;reg_mcs3_ldpc_exp;[19:15];5'd30;R/W;;;;
;;;;;;reg_mcs2_ldpc_exp;[14:10];5'd31;R/W;;;;
;;;;;;reg_mcs1_ldpc_exp;[9:5];5'd0;R/W;;;;
;;;;;;reg_mcs0_ldpc_exp;[4:0];5'd0;R/W;;;;
0x00D0;MIMO_EQU_CONF7;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_mcs11_ldpc_exp;[29:25];5'd24;R/W;;;;
;;;;;;reg_mcs10_ldpc_exp;[24:20];5'd25;R/W;;;;
;;;;;;reg_mcs9_ldpc_exp;[19:15];5'd25;R/W;;;;
;;;;;;reg_mcs8_ldpc_exp;[14:10];5'd26;R/W;;;;
;;;;;;reg_mcs7_ldpc_exp;[9:5];5'd26;R/W;;;;
;;;;;;reg_mcs6_ldpc_exp;[4:0];5'd27;R/W;;;;
0x00D4;MIMO_EQU_CONF8;pclk;reset_n;;;;[31:28];4'h0;RO;;;;
;;;;;;reg_4096qam_scale;[27:24];4'd13;R/W;;;;~
;;;;;;reg_1024qam_scale;[23:20];4'd13;R/W;;;;
;;;;;;reg_256qam_scale;[19:16];4'd13;R/W;;;;
;;;;;;reg_64qam_scale;[15:12];4'd13;R/W;;;;
;;;;;;reg_16qam_scale;[11:8];4'd6;R/W;;;;
;;;;;;reg_qpsk_scale;[7:4];4'd3;R/W;;;;
;;;;;;reg_bpsk_scale;[3:0];4'd2;R/W;;;;
0x00D8;MIMO_EQU_CONF9;pclk;reset_n;;;;[31:11];21'h0;RO;;;;
;;;;;;reg_mimo_nsts2_cg_bypass;[10];1'd0;R/W;;;;~
;;;;;;reg_mimo_nsts1_cg_bypass;[9];1'd0;R/W;;;;~
;;;;;;reg_mimo_irc_cg_bypass;[8];1'd0;R/W;;;;~
;;;;;;reg_mimo_after_equ_cg_bypass;[7];1'd0;R/W;;;;~
;;;;;;reg_mimo_mld_cg_bypass;[6];1'd0;R/W;;;;~
;;;;;;reg_mimo_avrsnr_cg_bypass;[5];1'd0;R/W;;;;~
;;;;;;reg_mimo_sym_cg_bypass;[4];1'd0;R/W;;;;~
;;;;;;reg_mimo_iq_dect_cg_bypass;[3];1'd0;R/W;;;;~
;;;;;;reg_mimo_evm_cg_bypass;[2];1'd0;R/W;;;;~
;;;;;;reg_mimo_ptsnr_wh_cg_bypass;[1];1'd0;R/W;;;;~
;;;;;;reg_mimo_dfx_cg_bypass;[0];1'd0;R/W;;;;~
0x00DC;MIMO_EQU_CONF10;pclk;reset_n;;;;[31:27];5'h0;RO;;;;
;;;;;;reg_snr_limit_llr;[26:22];5'd7;R/W;;;;
;;;;;;reg_sigma_n0_min;[21:16];6'd30;R/W;;;;
;;;;;;reg_equ_ratio_thres;[15:0];16'd400;R/W;;;;
0x00E0;MIMO_EQU_CONF11;pclk;reset_n;;;;[31:28];4'h0;RO;;;;
;;;;;;reg_he_dc_weight_fac1;[27:24];4'd1;R/W;;;;
;;;;;;reg_he_dc_weight_fac2;[23:20];4'd2;R/W;;;;
;;;;;;reg_he_dc_weight_fac3;[19:16];4'd4;R/W;;;;
;;;;;;reg_he_dc_weight_fac4;[15:12];4'd4;R/W;;;;
;;;;;;reg_he_dc_weight_fac5;[11:8];4'd4;R/W;;;;
;;;;;;reg_he_dc_weight_fac6;[7:4];4'd8;R/W;;;;
;;;;;;reg_he_dc_weight_fac7;[3:0];4'd8;R/W;;;;
0x00E4;MIMO_EQU_CONF12;pclk;reset_n;;;;[31:23];9'h0;RO;;;;
;;;;;;reg_evm_rpt_sym_idx;[22:12];11'd0;R/W;;;;~
;;;;;;reg_nonhe_dc_weight_fac1;[11:8];4'd2;R/W;;;;
;;;;;;reg_nonhe_dc_weight_fac2;[7:4];4'd4;R/W;;;;
;;;;;;reg_nonhe_dc_weight_fac3;[3:0];4'd8;R/W;;;;
0x00E8;MIMO_EQU_CONF13;pclk;reset_n;;;;[31:27];5'd0;RO;;;;
;;;;;;reg_evm_rpt_sel;[26];1'd0;R/W;;;;~
;;;;;;reg_mld_evm_subnode;[25:24];2'd0;R/W;;;;~
;;;;;;reg_evm_cal_en;[23];1'd1;R/W;;;;~
;;;;;;reg_evm_cal_user_id;[22:19];4'd0;R/W;;;;~
;;;;;;reg_dce_alpha;[18:13];6'd1;R/W;;;;~
;;;;;;reg_dce_power_th;[12:1];12'd256;R/W;;;;~
;;;;;;reg_dce_enable;[0];1'd1;R/W;;;;~
0x00EC;MIMO_EQU_CONF14;pclk;reset_n;;;;[31:26];6'd0;RO;;;;
;;;;;;reg_evm_rpt_thres;[25:15];11'd50;R/W;;;;~
;;;;;;reg_dc_psnr_fix_min;[14:10];5'd4;R/W;;;;
;;;;;;reg_dc_psnr_min_man;[9:5];5'd16;R/W;;;;
;;;;;;reg_dc_psnr_min_exp;[4:0];5'd2;R/W;;;;
